"subject","STIM","trial","keyboard","choice","count_correct","filename","gender","correct","MEL","RYT","Forfra","Bagfra","Rangordning","met_total","wm_total"
4,"C4PS","   56",15143,"C4PS",35,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B3","   57",21353,"C2PH",35,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
4,"B4","   58",22222,"B4",36,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"C2PH","   59",54421,"C2PH",37,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"C2PH","   60",54421,"C2PH",38,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B2","   61",12343,"B2",39,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"C4PS","   62",15143,"B3",39,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
4,"B2","   63",12343,"B2",40,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B4","   64",22222,"B4",41,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B3","   65",21353,"B3",42,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B3","   66",21353,"B3",43,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B4","   67",22222,"B4",44,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"C4PS","   68",15143,"C4PS",45,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"C2PH","   69",54421,"C2PH",46,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B4","   28",22222,"B4",17,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B4","   2",22222,"B4",1,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B3","   3",21353,"C4PS",1,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
4,"C2PH","   4",54421,"C2PH",2,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"C4PS","   5",15143,"C4PS",3,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B3","   6",21353,"B2",3,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
4,"C2PH","   7",54421,"C4PS",3,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
4,"B2","   8",12343,"B2",4,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"C4PS","   9",15143,"B4",4,"4 xingyu-dkboy ","boy",0,16,18,8,8,7,34,23
